Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
Hartlepool,North East,England,County,Jonathan,Brash,Male,Lab hold,Lab,RUK,"71,437","35,511",88,"7,698","7,767","16,414",572,"8,716",834,0,0,0,0,0,0,0,"1,208",0
Harwich and North Essex,East of England,England,County,Bernard,Jenkin,Male,Con hold,Con,Lab,"76,296","48,043",195,"1,162","16,522","15,360","3,561","9,806","2,794",0,0,0,0,0,0,0,0,0
Hastings and Rye,South East,England,County,Helena,Dollimore,Female,Lab gain from Con,Lab,Con,"75,939","45,990",183,"8,653","10,481","19,134","2,586","7,401","5,761",0,0,0,0,0,0,0,627,0
Havant,South East,England,Borough,Alan,Mak,Male,Con hold,Con,Lab,"72,323","42,186",133,92,"12,986","12,894","3,275","9,959","2,861",0,0,0,0,0,0,0,211,0
Hayes and Harlington,London,England,Borough,John,McDonnell,Male,Lab hold,Lab,Con,"74,405","38,315",118,"12,031","8,374","20,405","1,316","4,114","2,131",0,0,0,0,0,0,0,"1,975",0
Hazel Grove,North West,England,County,Lisa,Smart,Female,LD gain from Con,LD,Lab,"72,846","45,998",170,"6,500","9,011","10,828","17,328","6,955","1,763",0,0,0,0,0,0,0,113,0
Hemel Hempstead,East of England,England,County,David,Taylor,Male,Lab gain from Con,Lab,Con,"71,035","44,108",168,"4,857","11,987","16,844","5,096","7,689","2,492",0,0,0,0,0,0,0,0,0
Hendon,London,England,Borough,David,Pinto-Duschinsky,Male,Lab gain from Con,Lab,Con,"74,865","41,256",190,15,"15,840","15,855","1,966","3,038","2,667",0,0,0,0,0,0,0,"1,890",0
Henley and Thame,South East,England,County,Freddie,Van Mierlo,Male,LD gain from Con,LD,Con,"73,749","53,157",174,"6,267","17,637","3,574","23,904","5,213","2,008",0,0,0,0,0,0,0,821,0
Hereford and South Herefordshire,West Midlands,England,County,Jesse,Norman,Male,Con hold,Con,Lab,"72,203","45,572",154,"1,279","14,871","13,592","5,325","8,395","3,175",0,0,0,0,0,0,0,214,0
Herne Bay and Sandwich,South East,England,County,Roger,Gale,Male,Con hold,Con,Lab,"77,869","48,827",196,"2,499","17,243","14,744","2,709","10,602","3,529",0,0,0,0,0,0,0,0,0
Hertford and Stortford,East of England,England,County,Joshua Robert Abraham,Dean,Male,Lab gain from Con,Lab,Con,"78,915","54,009",203,"4,748","16,060","20,808","4,167","8,325","4,373",0,0,0,0,0,0,0,276,0
Hertsmere,East of England,England,County,Oliver,Dowden,Male,Con hold,Con,Lab,"73,465","48,007",204,"7,992","21,451","13,459","3,710","6,584","2,267",0,0,0,0,0,0,0,536,0
Hexham,North East,England,County,Joe,Morris,Male,Lab gain from Con,Lab,Con,"76,431","51,828",433,"3,713","20,275","23,988","2,376",0,"2,467",0,0,0,0,0,0,0,"2,722",0
Heywood and Middleton North,North West,England,County,Elsie,Blundell,Female,Lab hold,Lab,RUK,"73,328","37,130",146,"6,082","6,423","15,069","2,302","8,987",0,0,0,0,0,0,0,0,"4,349",0
High Peak,East Midlands,England,County,Jon,Pearce,Male,Lab gain from Con,Lab,Con,"74,385","49,206",178,"7,908","14,625","22,533","1,707","6,959","3,382",0,0,0,0,0,0,0,0,0
Hinckley and Bosworth,East Midlands,England,County,Luke,Evans,Male,Con hold,Con,LD,"76,438","47,799",147,"5,408","17,032","8,601","11,624","8,817","1,514",0,0,0,0,0,0,0,211,0
Hitchin,East of England,England,County,Alistair,Strathern,Male,Lab gain from Con,Lab,Con,"75,877","52,510",179,"8,109","14,958","23,067","4,913","6,760","2,631",0,0,0,0,0,0,0,181,0
Holborn and St Pancras,London,England,Borough,Keir,Starmer,Male,Lab hold,Lab,Ind,"71,300","38,602",223,"11,572","2,776","18,884","2,236","2,371","4,030",0,0,0,0,0,0,0,"8,305",0
Honiton and Sidmouth,South West,England,County,Richard,Foord,Male,LD gain from Con,LD,Con,"75,537","50,655",137,"6,700","16,307","2,947","23,007","6,289","1,394",0,0,0,0,0,0,0,711,0
Hornchurch and Upminster,London,England,Borough,Julia,Lopez,Female,Con hold,Con,RUK,"75,438","46,911",125,"1,943","15,260","12,939","2,381","13,317","2,620",0,0,0,0,0,0,0,394,0
Hornsey and Friern Barnet,London,England,Borough,Catherine,West,Female,Lab hold,Lab,Green,"69,885","48,642",287,"21,475","4,011","28,535","6,099","1,989","7,060",0,0,0,0,0,0,0,948,0
Horsham,South East,England,County,John,Milne,Male,LD gain from Con,LD,Con,"79,150","55,499",225,"2,517","19,115","5,979","21,632","6,116","2,137",0,0,0,0,0,0,0,520,0
Houghton and Sunderland South,North East,England,County,Bridget,Phillipson,Female,Lab hold,Lab,RUK,"78,448","40,032",101,"7,169","5,514","18,837","2,290","11,668","1,723",0,0,0,0,0,0,0,0,0
Hove and Portslade,South East,England,Borough,Peter,Kyle,Male,Lab hold,Lab,Green,"74,063","51,909",247,"19,791","6,630","27,209","3,046","4,558","7,418",0,0,0,0,0,0,0,"3,048",0
Huddersfield,Yorkshire and The Humber,England,Borough,Harpreet,Uppal,Female,Lab hold,Lab,Green,"77,795","40,165",147,"4,533","6,559","15,101","1,741","6,196","10,568",0,0,0,0,0,0,0,0,0
Huntingdon,East of England,England,County,Ben,Obese-Jecty,Male,Con hold,Con,Lab,"79,074","52,040",194,"1,499","18,257","16,758","4,821","8,039","3,042",0,0,0,0,0,0,0,"1,123",0
Hyndburn,North West,England,County,Sarah,Smith,Female,Lab gain from Con,Lab,Con,"67,147","36,374",149,"1,687","10,499","12,186","1,210","7,541","4,938",0,0,0,0,0,0,0,0,0
Ilford North,London,England,Borough,Wes,Streeting,Male,Lab hold,Lab,Ind,"78,657","46,888",121,528,"9,619","15,647","1,088","3,621","1,794",0,0,0,0,0,0,0,"15,119",0
Ilford South,London,England,Borough,Jas,Athwal,Male,Lab hold,Lab,Ind,"80,993","41,170",167,"6,894","6,142","16,537","1,340","2,329","3,437",0,0,0,0,0,0,0,"11,385",0
Inverclyde and Renfrewshire West,Scotland,Scotland,County,Martin,McCluskey,Male,Lab gain from SNP,Lab,SNP,"70,126","40,350",101,"6,371","2,863","18,931","1,259","2,476","1,173","12,560",0,0,0,0,0,0,"1,088",0
Inverness  Skye and West Ross-shire,Scotland,Scotland,County,Angus,MacDonald,Male,LD gain from SNP,LD,SNP,"77,927","48,056",168,"2,160","2,502","6,246","18,159","2,934","2,038","15,999",0,0,0,0,0,0,178,0
Ipswich,East of England,England,Borough,Jack,Abbott,Male,Lab gain from Con,Lab,Con,"75,396","44,071",167,"7,403","11,696","19,099","2,241","7,027","3,652",0,0,0,0,0,0,0,356,0
Isle of Wight East,South East,England,County,Joe,Robertson,Male,Con hold,Con,RUK,"55,855","34,078",71,"3,323","10,427","6,264","3,550","7,104","6,313",0,0,0,0,0,0,0,420,0
Isle of Wight West,South East,England,County,Richard,Quigley,Male,Lab gain from Con,Lab,Con,"55,406","34,290",78,"3,177","10,063","13,240","2,726","5,834","2,310",0,0,0,0,0,0,0,117,0
Islington North,London,England,Borough,Jeremy,Corbyn,Male,Ind gain from Lab,Ind,Lab,"72,852","49,006",189,"7,247","1,950","16,873","1,661","1,710","2,660",0,0,0,0,0,0,0,"24,152","24,120"
Islington South and Finsbury,London,England,Borough,Emily,Thornberry,Female,Lab hold,Lab,Green,"74,122","42,754",235,"15,455","3,584","22,946","4,045","3,388","7,491",0,0,0,0,0,0,0,"1,300",0
Jarrow and Gateshead East,North East,England,Borough,Kate,Osborne,Female,Lab hold,Lab,RUK,"70,272","36,728",85,"8,964","3,354","18,856","1,740","9,892","2,384",0,0,0,0,0,0,0,502,0
Keighley and Ilkley,Yorkshire and The Humber,England,County,Robbie,Moore,Male,Con hold,Con,Lab,"74,367","46,186",175,"1,625","18,589","16,964",970,"4,782","2,447",0,0,0,0,0,0,0,"2,434",0
Kenilworth and Southam,West Midlands,England,County,Jeremy,Wright,Male,Con hold,Con,Lab,"74,923","53,320",184,"6,574","19,395","12,821","10,464","6,920","3,125",0,0,0,0,0,0,0,595,0
Kensington and Bayswater,London,England,Borough,Joe,Powell,Male,Lab hold,Lab,Con,"77,306","41,908",213,"2,903","14,122","17,025","2,910","2,514","2,732",0,0,0,0,0,0,0,"2,605",0
Kettering,East Midlands,England,County,Rosie,Wrighting,Female,Lab gain from Con,Lab,Con,"79,360","50,231",152,"3,820","14,189","18,009","1,357","8,468","7,004",0,0,0,0,0,0,0,"1,204",0
Kilmarnock and Loudoun,Scotland,Scotland,County,Lillian,Jones,Female,Lab gain from SNP,Lab,SNP,"74,628","42,478",134,"5,119","3,527","19,055",850,"3,472","1,237","13,936",0,0,0,0,0,0,401,0
Kingston and Surbiton,London,England,Borough,Ed,Davey,Male,LD hold,LD,Con,"77,353","50,664",149,"17,235","8,635","6,561","25,870","4,787","3,009",0,0,0,0,0,0,0,"1,802",0
Kingston upon Hull East,Yorkshire and The Humber,England,Borough,Karl,Turner,Male,Lab hold,Lab,RUK,"70,650","29,816",88,"3,920","2,715","13,047","3,252","9,127","1,675",0,0,0,0,0,0,0,0,0
Kingston upon Hull North and Cottingham,Yorkshire and The Humber,England,Borough,Diana,Johnson,Female,Lab hold,Lab,RUK,"75,280","38,228",137,"10,679","4,897","18,480","3,246","7,801","2,322",0,0,0,0,0,0,0,"1,482",0
Kingston upon Hull West and Haltemprice,Yorkshire and The Humber,England,Borough,Emma,Hardy,Female,Lab gain from Con,Lab,RUK,"73,252","38,178",116,"8,979","6,924","17,875","2,625","8,896","1,748",0,0,0,0,0,0,0,110,0
Kingswinford and South Staffordshire,West Midlands,England,County,Mike,Wood,Male,Con hold,Con,Lab,"71,645","45,180",146,"6,303","18,199","11,896","2,080","9,928","2,077",0,0,0,0,0,0,0,"1,000",0
Knowsley,North West,England,Borough,Anneliese,Midgley,Female,Lab hold,Lab,RUK,"71,964","36,047",88,"18,319","1,496","24,243","1,232","5,924","2,772",0,0,0,0,0,0,0,380,0
Lagan Valley,Northern Ireland,Northern Ireland,County,Sorcha-Lucy,Eastwood,Female,APNI gain from DUP,APNI,DUP,"82,201","49,081",162,"2,959",0,0,0,0,433,0,0,"15,659",0,"1,028","11,157","18,618","2,186",0
Lancaster and Wyre,North West,England,County,Cat,Smith,Female,Lab gain from Con,Lab,Con,"74,760","43,008",199,"9,253","10,062","19,315","1,529","6,866","5,236",0,0,0,0,0,0,0,0,0
Leeds Central and Headingley,Yorkshire and The Humber,England,Borough,Alex,Sobel,Male,Lab hold,Lab,Green,"70,554","31,595",135,"8,422","2,237","15,853","2,611","2,399","7,431",0,0,0,0,0,0,0,"1,064",0
Leeds East,Yorkshire and The Humber,England,County,Richard,Burgon,Male,Lab hold,Lab,RUK,"76,207","39,388",129,"11,265","6,898","18,610","1,445","7,345","3,506",0,0,0,0,0,0,0,"1,584",0
Leeds North East,Yorkshire and The Humber,England,Borough,Fabian,Hamilton,Male,Lab hold,Lab,Con,"70,178","45,167",221,"16,083","7,177","23,260","2,168","3,426","5,911",0,0,0,0,0,0,0,"3,225",0
Leeds North West,Yorkshire and The Humber,England,County,Katie,White,Female,Lab gain from Con,Lab,Con,"71,592","49,777",176,"11,896","10,986","22,882","5,641","5,935","3,231",0,0,0,0,0,0,0,"1,102",0
Leeds South,Yorkshire and The Humber,England,Borough,Hilary,Benn,Male,Lab hold,Lab,Green,"75,953","31,678",473,"11,279","4,172","17,117","1,340",0,"5,838",0,0,0,0,0,0,0,"3,211",0
Leeds South West and Morley,Yorkshire and The Humber,England,Borough,Mark,Sewards,Male,Lab gain from Con,Lab,Con,"71,854","40,209",114,"8,423","9,258","17,681","1,798","8,187","2,522",0,0,0,0,0,0,0,763,0
Leeds West and Pudsey,Yorkshire and The Humber,England,Borough,Rachel,Reeves,Female,Lab hold,Lab,Con,"70,069","38,494",121,"12,392","6,584","18,976","1,743","6,281","3,794",0,0,0,0,0,0,0,"1,116",0
Leicester East,East Midlands,England,Borough,Shivani,Raja,Female,Con gain from Lab,Con,Lab,"76,560","46,714",255,"4,426","14,526","10,100","6,329","2,611","2,143",0,0,0,0,0,0,0,"11,005",0
Leicester South,East Midlands,England,Borough,Shockat,Adam,Male,Ind gain from Lab,Ind,Lab,"70,867","41,837",158,979,"4,820","13,760","1,425","2,470","3,826",0,0,0,0,0,0,0,"15,536","14,739"
Leicester West,East Midlands,England,Borough,Liz,Kendall,Female,Lab hold,Lab,Con,"74,102","35,397",161,"8,777","7,021","15,798","2,179","5,666","4,089",0,0,0,0,0,0,0,644,0
Leigh and Atherton,North West,England,Borough,Jo,Platt,Female,Lab gain from Con,Lab,RUK,"79,978","41,170",147,"8,881","6,483","19,971","1,597","11,090","1,653",0,0,0,0,0,0,0,376,0
Lewes,South East,England,County,James,MacCleary,Male,LD gain from Con,LD,Con,"76,166","53,173",171,"12,624","14,271","3,574","26,895","6,335","1,869",0,0,0,0,0,0,0,229,0
Lewisham East,London,England,Borough,Janet,Daby,Female,Lab hold,Lab,Green,"73,380","40,637",192,"18,073","4,401","23,646","2,471","3,469","5,573",0,0,0,0,0,0,0,"1,077",0
Lewisham North,London,England,Borough,Vicky,Foxcroft,Female,Lab hold,Lab,Green,"74,205","44,167",262,"15,782","2,701","25,467","3,284","2,000","9,685",0,0,0,0,0,0,0,"1,030",0
Lewisham West and East Dulwich,London,England,Borough,Ellie,Reeves,Female,Lab hold,Lab,Green,"69,386","46,414",213,"18,397","3,477","27,406","3,558","2,234","9,009",0,0,0,0,0,0,0,730,0
Leyton and Wanstead,London,England,Borough,Calvin,Bailey,Male,Lab hold,Lab,Green,"71,491","43,732",208,"13,964","4,846","20,755","2,815","2,475","6,791",0,0,0,0,0,0,0,"6,050",0
Lichfield,West Midlands,England,County,Dave,Robertson,Male,Lab gain from Con,Lab,Con,"76,118","49,104",159,810,"16,422","17,232","3,572","9,734","1,724",0,0,0,0,0,0,0,420,0
Lincoln,East Midlands,England,Borough,Hamish,Falconer,Male,Lab gain from Con,Lab,Con,"72,315","42,160",165,"8,793","9,677","18,470","2,580","7,602","2,751",0,0,0,0,0,0,0,"1,080",0
Liverpool Garston,North West,England,Borough,Maria,Eagle,Female,Lab hold,Lab,RUK,"69,282","41,993",155,"20,104","2,943","24,510","3,239","4,406","2,816",0,0,0,0,0,0,0,"4,079",0
Liverpool Riverside,North West,England,Borough,Kim,Johnson,Female,Lab hold,Lab,Green,"71,380","32,381",156,"14,793","1,155","20,039","1,544","3,272","5,246",0,0,0,0,0,0,0,"1,125",0
Liverpool Walton,North West,England,Borough,Dan,Carden,Male,Lab hold,Lab,RUK,"69,317","36,886",132,"20,245","1,282","26,032",945,"5,787","2,388",0,0,0,0,0,0,0,452,0
Liverpool Wavertree,North West,England,Borough,Paula,Barker,Female,Lab hold,Lab,Green,"70,581","39,815",231,"16,304","1,887","23,077","2,759","3,454","6,773",0,0,0,0,0,0,0,"1,865",0
Liverpool West Derby,North West,England,Borough,Ian,Byrne,Male,Lab hold,Lab,RUK,"69,934","38,006",162,"20,423","1,566","25,302","1,276","4,879","2,647",0,0,0,0,0,0,0,"2,336",0
Livingston,Scotland,Scotland,County,Gregor,Poynton,Male,Lab gain from SNP,Lab,SNP,"78,043","44,840",121,"3,528","3,469","18,324","2,025","3,977","1,704","14,796",0,0,0,0,0,0,545,0
Llanelli,Wales,Wales,County,Nia,Griffith,Female,Lab hold,Lab,RUK,"71,538","40,744",124,"1,504","4,275","12,751","1,254","11,247","1,106",0,"9,511",0,0,0,0,0,600,0
Lothian East,Scotland,Scotland,County,Douglas,Alexander,Male,Lab gain from SNP,Lab,SNP,"75,456","48,102",132,"13,265","5,535","23,555","2,649","3,039","2,477","10,290",0,0,0,0,0,0,557,0
Loughborough,East Midlands,England,County,Jeevun,Sandher,Male,Lab gain from Con,Lab,Con,"68,961","42,259",177,"4,960","12,289","17,249","2,561","7,204","2,956",0,0,0,0,0,0,0,0,0
Louth and Horncastle,East Midlands,England,County,Victoria,Atkins,Female,Con hold,Con,RUK,"76,880","46,479",131,"5,506","17,441","10,475","2,364","11,935","2,504",0,0,0,0,0,0,0,"1,760",0
Lowestoft,East of England,England,County,Jess,Asato,Female,Lab gain from Con,Lab,Con,"74,332","41,824",101,"2,016","12,448","14,464","1,489","10,328","3,095",0,0,0,0,0,0,0,0,0
Luton North,East of England,England,Borough,Sarah,Owen,Female,Lab hold,Lab,Con,"74,866","38,745",162,"7,510","7,167","14,677","1,890","4,666","1,940",0,0,0,0,0,0,0,"8,405",0
Luton South and South Bedfordshire,East of England,England,County,Rachel,Hopkins,Female,Lab hold,Lab,Con,"77,312","38,382",176,"6,858","6,735","13,593","2,400","4,759","2,401",0,0,0,0,0,0,0,"8,494",0
Macclesfield,North West,England,County,Tim,Roca,Male,Lab gain from Con,Lab,Con,"76,416","52,792",143,"9,120","15,552","24,672","2,482","6,592","2,493",0,0,0,0,0,0,0,"1,001",0
Maidenhead,South East,England,County,Joshua,Reynolds,Male,LD gain from Con,LD,Con,"75,687","50,329",516,"2,963","18,932","5,766","21,895",0,"1,996",0,0,0,0,0,0,0,"1,740",0
Maidstone and Malling,South East,England,County,Helen,Grant,Female,Con hold,Con,Lab,"76,449","46,389",131,"1,674","14,146","12,472","6,375","9,316","3,727",0,0,0,0,0,0,0,353,0
Makerfield,North West,England,Borough,Josh,Simons,Male,Lab hold,Lab,RUK,"76,641","40,263",135,"5,399","4,379","18,202","2,735","12,803","1,776",0,0,0,0,0,0,0,368,0
Maldon,East of England,England,County,John,Whittingdale,Male,Con hold,Con,RUK,"78,282","49,841",199,"6,906","19,374","9,817","5,882","12,468","2,300",0,0,0,0,0,0,0,0,0
Manchester Central,North West,England,Borough,Lucy,Powell,Female,Lab hold,Lab,Green,"85,204","39,725",181,"13,797","2,823","20,184","3,051","4,760","6,387",0,0,0,0,0,0,0,"2,520",0
Manchester Rusholme,North West,England,Borough,Afzal,Khan,Male,Lab hold,Lab,Green,"72,608","29,033",193,"8,235","1,678","15,054",0,"1,313","6,819",0,0,0,0,0,0,0,"4,169",0
Manchester Withington,North West,England,Borough,Jeff,Smith,Male,Lab hold,Lab,Green,"70,555","41,731",240,"13,982","2,280","22,066","5,412","1,961","8,084",0,0,0,0,0,0,0,"1,928",0
Mansfield,East Midlands,England,County,Steve,Yemm,Male,Lab gain from Con,Lab,Con,"74,535","41,087",114,"3,485","12,563","16,048",799,"9,385","1,326",0,0,0,0,0,0,0,966,0
Melksham and Devizes,South West,England,County,Brian,Mathew,Male,LD gain from Con,LD,Con,"73,482","51,203",203,"2,401","17,630","4,587","20,031","6,726","2,229",0,0,0,0,0,0,0,0,0
Melton and Syston,East Midlands,England,County,Edward,Argar,Male,Con hold,Con,Lab,"74,316","45,986",163,"5,396","17,526","12,130","2,547","8,945","3,685",0,0,0,0,0,0,0,"1,153",0
Meriden and Solihull East,West Midlands,England,County,Saqib,Bhatti,Male,Con hold,Con,Lab,"73,659","44,035",161,"4,584","16,792","12,208","3,353","8,753","2,929",0,0,0,0,0,0,0,0,0
Merthyr Tydfil and Aberdare,Wales,Wales,County,Gerald,Jones,Male,Lab hold,Lab,RUK,"74,460","35,215",115,"7,447","2,687","15,791","1,276","8,344","1,231",0,"4,768",0,0,0,0,0,"1,118",0
Mid and South Pembrokeshire,Wales,Wales,County,Henry,Tufnell,Male,Lab gain from Con,Lab,Con,"79,033","46,629",147,"1,878","14,627","16,505","2,372","7,828","1,654",0,"2,962",0,0,0,0,0,681,0
Mid Bedfordshire,East of England,England,County,Blake,Stephenson,Male,Con hold,Con,Lab,"75,457","49,621",179,"1,321","16,912","15,591","4,068","8,594","2,584",0,0,0,0,0,0,0,"1,872",0
Mid Buckinghamshire,South East,England,County,Greg,Smith,Male,Con hold,Con,LD,"75,622","53,951",231,"5,872","20,150","9,171","14,278","6,926","2,942",0,0,0,0,0,0,0,484,0
Mid Cheshire,North West,England,County,Andrew,Cooper,Male,Lab gain from Con,Lab,Con,"70,384","41,509",115,"8,927","9,530","18,457","2,465","7,967","1,967",0,0,0,0,0,0,0,"1,123",0
Mid Derbyshire,East Midlands,England,County,Jonathan,Davies,Male,Lab gain from Con,Lab,Con,"69,917","47,543",153,"1,878","15,468","17,346","2,361","8,356","3,547",0,0,0,0,0,0,0,465,0
Mid Dorset and North Poole,South West,England,County,Vikki,Slade,Female,LD gain from Con,LD,Con,"75,294","49,514",798,"1,352","20,090","4,566","21,442",0,"2,355",0,0,0,0,0,0,0,"1,061",0
Mid Dunbartonshire,Scotland,Scotland,County,Susan,Murray,Female,LD gain from SNP,LD,SNP,"73,603","52,738",132,"9,673","2,452","10,993","22,349","2,099","1,720","12,676",0,0,0,0,0,0,449,0
Mid Leicestershire,East Midlands,England,County,Peter,Bedford,Male,Con hold,Con,Lab,"75,924","48,050",181,"2,201","17,735","15,534","2,444","8,923","3,414",0,0,0,0,0,0,0,0,0
Mid Norfolk,East of England,England,County,George,Freeman,Male,Con hold,Con,Lab,"75,238","45,897",222,"3,054","16,770","13,716","3,126","9,427","2,858",0,0,0,0,0,0,0,0,0
Mid Sussex,South East,England,County,Alison,Bennett,Female,LD gain from Con,LD,Con,"75,969","53,328",145,"6,662","14,474","9,397","21,136","5,921","2,048",0,0,0,0,0,0,0,352,0
Mid Ulster,Northern Ireland,Northern Ireland,County,Cathal,Mallaghan,Male,SF hold,SF,DUP,"74,000","45,445",246,"14,923",0,0,0,0,0,0,0,"9,162","24,085","3,722","2,269","2,001","4,206",0
Middlesbrough and Thornaby East,North East,England,Borough,Andy,McDonald,Male,Lab hold,Lab,RUK,"75,123","34,407",92,"9,192","6,174","16,238","1,037","7,046","1,522",0,0,0,0,0,0,0,"2,390",0
Middlesbrough South and East Cleveland,North East,England,County,Luke,Myer,Male,Lab gain from Con,Lab,Con,"70,331","38,035",529,214,"16,254","16,468","2,032",0,"1,446",0,0,0,0,0,0,0,"1,835",0
Midlothian,Scotland,Scotland,County,Kirsty,McNeill,Female,Lab gain from SNP,Lab,SNP,"73,554","44,165",162,"8,167","3,248","21,480","2,589","3,276",0,"13,313",0,0,0,0,0,0,259,0
Milton Keynes Central,South East,England,Borough,Emily,Darlington,Female,Lab gain from Con,Lab,Con,"81,078","47,729",201,"7,291","12,918","20,209","4,931","6,245","3,226",0,0,0,0,0,0,0,200,0
Milton Keynes North,South East,England,County,Chris,Curtis,Male,Lab gain from Con,Lab,Con,"70,709","45,977",184,"5,430","13,888","19,318","3,365","6,164","3,242",0,0,0,0,0,0,0,0,0
Mitcham and Morden,London,England,Borough,Siobhain,McDonagh,Female,Lab hold,Lab,Con,"77,282","45,255",182,"18,761","6,324","25,085","3,622","4,135","4,635",0,0,0,0,0,0,0,"1,454",0
Monmouthshire,Wales,Wales,County,Catherine,Fookes,Female,Lab gain from Con,Lab,Con,"74,823","50,844",154,"3,338","17,672","21,010","2,279","5,438","2,357",0,"1,273",0,0,0,0,0,815,0
Montgomeryshire and Glynd?r,Wales,Wales,County,Steve,Witherden,Male,Lab gain from Con,Lab,RUK,"74,039","43,259",193,"3,815","7,775","12,709","6,470","8,894","1,744",0,"5,667",0,0,0,0,0,0,0
Moray West  Nairn and Strathspey,Scotland,Scotland,County,Graham,Leadbitter,Male,SNP hold,SNP,Con,"77,243","46,554",167,"1,001","13,960","8,259","3,785","3,490","1,676","14,961",0,0,0,0,0,0,423,0
Morecambe and Lunesdale,North West,England,County,Lizzi,Collinge,Female,Lab gain from Con,Lab,Con,"76,424","48,059",171,"5,815","13,788","19,603","4,769","7,810","2,089",0,0,0,0,0,0,0,0,0
Motherwell  Wishaw and Carluke,Scotland,Scotland,County,Pamela,Nash,Female,Lab gain from SNP,Lab,SNP,"71,777","39,026",125,"7,085","2,415","19,168",822,"3,004","1,200","12,083",0,0,0,0,0,0,334,0
Na h-Eileanan an Iar,Scotland,Scotland,County,Torcuil,Crichton,Male,Lab gain from SNP,Lab,SNP,"21,325","13,528",53,"3,836",647,"6,692",382,697,0,"2,856",0,0,0,0,0,0,"2,254",0
Neath and Swansea East,Wales,Wales,County,Carolyn,Harris,Female,Lab hold,Lab,RUK,"76,291","40,137",132,"6,627","3,765","16,797","2,344","10,170","1,711",0,"5,350",0,0,0,0,0,0,0
New Forest East,South East,England,County,Julian,Lewis,Male,Con hold,Con,Lab,"70,618","45,230",146,"8,495","17,412","8,917","7,198","7,646","3,118",0,0,0,0,0,0,0,939,0
New Forest West,South East,England,County,Desmond,Swayne,Male,Con hold,Con,Lab,"68,644","46,337",152,"5,600","16,412","10,812","8,186","7,577","2,800",0,0,0,0,0,0,0,550,0
Newark,East Midlands,England,County,Robert,Jenrick,Male,Con hold,Con,Lab,"79,783","53,459",198,"3,572","20,968","17,396","3,026","8,280","2,345",0,0,0,0,0,0,0,"1,444",0
Newbury,South East,England,County,Lee,Dillon,Male,LD gain from Con,LD,Con,"71,982","48,930",173,"2,377","17,268","3,662","19,645","5,357","2,714",0,0,0,0,0,0,0,284,0
Newcastle upon Tyne Central and West,North East,England,Borough,Chi,Onwurah,Female,Lab hold,Lab,RUK,"76,822","41,355",167,"11,060","4,228","18,875","1,946","7,815","3,228",0,0,0,0,0,0,0,"5,263",0
Newcastle upon Tyne East and Wallsend,North East,England,Borough,Mary,Glindon,Female,Lab hold,Lab,RUK,"76,245","42,321",123,"12,817","3,522","21,200","2,965","8,383","5,257",0,0,0,0,0,0,0,994,0
Newcastle upon Tyne North,North East,England,Borough,Catherine,McKinnell,Female,Lab hold,Lab,Con,"74,768","48,617",197,"17,762","6,678","24,440","5,936","5,933","5,035",0,0,0,0,0,0,0,595,0
Newcastle-under-Lyme,West Midlands,England,County,Adam,Jogee,Male,Lab gain from Con,Lab,Con,"67,815","39,618",158,"5,069","10,923","15,992","1,987","8,865","1,851",0,0,0,0,0,0,0,0,0
Newport East,Wales,Wales,County,Jessica,Morden,Female,Lab hold,Lab,RUK,"76,683","38,531",154,"9,009","6,487","16,370","2,045","7,361","2,092",0,"2,239",0,0,0,0,0,"1,937",0
Newport West and Islwyn,Wales,Wales,County,Ruth,Jones,Female,Lab hold,Lab,RUK,"75,785","41,951",163,"8,868","6,710","17,409","2,087","8,541","2,078",0,"3,529",0,0,0,0,0,"1,597",0
Newry and Armagh,Northern Ireland,Northern Ireland,County,D ire,Hughes,Male,SF hold,SF,SDLP,"78,244","45,942",294,"15,493",83,0,0,0,0,0,0,"5,900","22,299","6,806","3,175","2,692","4,987",0
Newton Abbot,South West,England,County,Martin,Wrigley,Male,LD gain from Con,LD,Con,"73,885","47,992",158,"2,246","12,955","7,115","15,201","8,494","2,083",0,0,0,0,0,0,0,"2,144",0
Newton Aycliffe and Spennymoor,North East,England,County,Alan,Strickland,Male,Lab gain from Con,Lab,RUK,"72,215","39,846",79,"8,839","8,195","18,394","1,491","9,555","1,701",0,0,0,0,0,0,0,510,0
Normanton and Hemsworth,Yorkshire and The Humber,England,County,Jon,Trickett,Male,Lab hold,Lab,RUK,"75,645","36,349",137,"6,662","4,995","17,275","1,319","10,613","2,147",0,0,0,0,0,0,0,0,0
North Antrim,Northern Ireland,Northern Ireland,County,Jim,Allister,Male,TUV gain from DUP,TUV,DUP,"74,697","41,185",176,450,0,0,0,0,0,0,0,"11,192","7,714","1,661","3,901","4,488","12,229","11,642"
North Ayrshire and Arran,Scotland,Scotland,County,Irene,Campbell,Female,Lab gain from SNP,Lab,SNP,"72,176","42,262",161,"3,551","5,954","16,821","1,005","3,415","1,327","13,270",0,0,0,0,0,0,470,0
North Bedfordshire,East of England,England,County,Richard,Fuller,Male,Con hold,Con,Lab,"78,850","51,561",210,"5,414","19,981","14,567","5,553","8,433","3,027",0,0,0,0,0,0,0,0,0
